Car_Unit,Car_Price (PHP),Existing_Milage / Engine_Type / Seller_Location
2013 Mitsubishi Montero Sport 2.5L GLS-V SE AT,"              ₱648,000               ","            1 KM, Diesel, Cebu City          "
2015 Mitsubishi Montero Sport GLX 2WD MT,"              ₱720,000               ","            1 KM, Diesel, Cebu City          "
2007 Toyota Innova  2.0L E MT,"              ₱400,000               ","            1 KM, Gasoline, Cebu City          "
2016 Toyota Hilux 2.8 G DSL 4x4 M/T,              ₱1.05 Million              ,"            91,000 KM, Diesel, Cebu City          "
2017 Toyota Hilux 2.8 G DSL 4x4 A/T,              ₱1.25 Million              ,"            41,000 KM, Diesel, Cebu City          "
2010 Mitsubishi Adventure  2.5 GLX MT,"              ₱380,000               ","            1 KM, Diesel, Cebu City          "
2020 Toyota Wigo 1.0 G AT,"              ₱468,000               ","            26,000 KM, Gasoline, Cebu City          "
2018 Ford Ranger  XLT 2.2L 4x2 MT,"              ₱900,000               ","            60,000 KM, Diesel, Cebu City          "
2010 Toyota Innova  2.5L E AT,"              ₱468,000               ","            89,000 KM, Diesel, Cebu City          "
2011 Nissan Patrol Super Safari 3.0L Super Safari AT,              ₱1.1 Million              ,"            48,000 KM, Diesel, Cebu City          "
2009 Ford Ranger  3.0L XLT MT,"              ₱500,000               ","            1 KM, Diesel, Cebu City          "
2016 Toyota Yaris  1.5L AT,"              ₱550,000               ","            1 KM, Gasoline, Cebu City          "
2013 Ford Ranger  2.2 XL 4x4 MT,"              ₱680,000               ","            1 KM, Diesel, Cebu City          "
2008 Ford Escape  2.3L XLS AT,"              ₱380,000               ","            90,000 KM, Gasoline, Cebu City          "
2017 Isuzu D-Max  LS RWD MT,"              ₱780,000               ","            1 KM, Diesel, Cebu City          "
2012 Toyota Corolla Altis  1.6 G MT,"              ₱380,000               ","            69,000 KM, Gasoline, Cebu City          "
